Id,Character,Description,Quote,Linkimage
121,"Singer, Amazing Grace","The lost, blind wretch who found his way because of grace alone. He has witnessed a catharsis of heavenly proportion; an inspiration of unreal breadth and depth; an awakening that transforms a soul. We too partake in the wholesome change. Forever now humble and earnest, good and kind, the singer accepts and understands it all. He has let faith seep into his pores and now is kept from snares and dangers to come as he is lead home. He embraces a loving Lord. He sees without the eyes. He sings beyond the words. Northing of this world can break his faith now as he surmounts any hard odds. Now with shield he goes on, meek and pure, teaching us meekness is more than a state of being but mind and spirit.","Amazing grace! How sweet the sound/ That saved a wretch like me!/ I once was lost, but now am found;/ Was blind, but now I see./ 'Twas grace that taught my heart to fear,/ And grace my fears relieved;/ How precious did that grace appear/ The hour I first believed.",SingerAmazingGrace.jpg
122,Mother in Free At Last,"The dying mother finally relieved of her heartache life. She tells her son on a deathbed of her long-sought freedom in passionate eloquence. Too hard she endured a cursed, rebuked, and scorned life. She raised a son, struggling in a family after a father died. Now she exclaims: “”I'm going home.”” Her love no doubt will live on as she happily ends her earthly appointment. We feel her pain subsides, her tears forever wiped away, her trials and tribulations a remote past, her troubles over. Any infirm, sick, dying, aged can welcome her story. Any healthy, vibrant, hopeful, young can understand her relief. And all meek souls here and after can know a sweet relief will come; and a carnal world will not imprison for long beautiful souls.","I've been cursed, I've been scorned/ I've been talked about sure as you're born./ I've seen men kicked around/ With their head down to the ground/ But I'm free at last./ ...I have lived my life down here/ Having her child down through the years/ But I got to leave you alone/ But you got to be real strong and carry on/ But I'm free at last...Son, don't know I'm free. Don't worry about me, I'm going home...I'm going where the wicked will keep from trouble is...Going home. Yes I am...Going where the weary got to be at rest…",MotherFreeAtLast.jpg
123,John Reese,"A soldier to the very end, John Reese transformed from a purposeless vagabond to the man in the suit who saves lives with mission calls from an AI entity. Expert-trained special forces operative John endured the blackest of high-order secretive crimes. And years later he becomes a lost soul: no home or family, no spouse or friend, no job to return to, no peace within from raging war lands. He did though find his calling in protecting the helpless and innocent on a subway train. From there the man in the suit goes on to fight for more nameless out there under the surveillance of a machine. And at the crossroads, John protects to the very end, giving his life for the cause and raises the 21st century question: can a machine have a soul like a human?",,JohnReese.jpg
124,Bud Bundy,"The little guy who is the level-head in a dysfunctional family, Bud is laughed at and teased for his romantic mistrials. He always tries hard to impress a girl he can never win. But Bud stands tall and mighty for all the other little guys out there, all the misfits who live in one-roomers and basements but tries hard in school, at work, in public spaces. College-bound Bud makes it out on his own despite the setbacks, the letdowns, the bullies, the insults and injuries. His tragic situations even carry comedic undertones but America sees a cast-out boy trying hard to prove himself a man even long after he already claimed the title. No one who knows Bud's hard-luck story can claim size makes a man.",,BudBundy.jpg
125,Shawn Hunter,"The hard-luck kid from the other side of the tracks. Never grew up in a stable, two-parent, middle class home like his long-time buddy, Shawn Hunter is a survivor. Good with the ladies, fights off the bullies, average in the grades, Shawn is the leather-jacket, slick-talking, seat-slouching higher schooler with a good heart. We see Shawn growing up from a junior high kid to a collage young man torn between the bad boy image to the faithful nice guy. But the road was tough with absent father, troubled mother, long-lost brother, always proving something to the world and himself, and always fighting off peer pressure and emotional bullies. And so without surprise the restless kid laments on the big stage at graduation time, “”I could have done better.””",,ShawnHunter.jpg
126,Father Connolly,"Once a childhood troublemaker and partner to a budding hoodlum, then turned to a priest fighting the impossible fight against a corrupt city racket for the sake of neighborhood kids. Father Connolly tried it all to save slum kids from crime with recreation sports to a church choir. But his own childhood friend discourages the process but might be the only saving, redeeming grace to help the cause. Torn between the gray continuum of morality, friendship, duty, Father Connolly held firm to his heavenly convictions. He mustered the courage born in heaven to save lost youth who worshiped the wrong kid of heroes. And he learned to beat the power machine and hoodlums one must become an angel with a dirty face.",,FatherConnolly.jpg
127,"Singer, Walk With You","The angelic voice that knows all too well earthly trials and tribulations. And no matter what road her companion treads or what load they bear, the speaker promises to walk alongside her friend. With an unconditional love to endure the nights and even face death itself, the voice rings a chorus and refrain strong and true. She promises with ceaseless affirmations to the longest mile, through grayest day. No more suffering in loneliness, in heartache, in misfortune, misery or suffering. And from the bottom pits of that woe, our heroine welcomes the magic of human companionship. And if we listeners ever doubt the voice that no one will truly walk with us in our darkest times, we are yet reminded over and over again by the singer: “”Yes I will.””","When you walk down the road/ Heavy burden, heavy load/ I will rise and I will walk with you/ When you walk through the night/ And you feel like you want to just give up, give up, give up on the fight/ I will come and I will walk with you/ Walk with you/ Until the sun don't even shine/ Walk with you/ I'll be there all the time/ I tell you I'll walk with you/ See you through/ When you walk from this place/ And you gotta go to meet Him face to face/ Take my hand and I will walk with you",SingerWalkWithYou.jpg
128,"Singer, Changes","He wakes in the morning and asks the life and death question. The hard-luck young black man whose life has been cut across by the concrete divide of inequality. Frustrated, confused, soul exasperated the singer pours out rhymes to make sense of a senseless existence. Poverty walls him around. Police barricades his life outcomes. Prisons are a certain future. And still he sings about potential changes with no strangers, drug dealers, gang bangers; no systematic hate, racism, or evil, only heaven healing and the simple times of childhood. And we only hope things can change and weary souls can lean back at ease. But we know too our hero will be another statistic striving to change the world and die trying.",And still I see no changes can't a brother get a little peace/ It's war on the streets and the war in the Middle East/ Instead of war on poverty they got a war on drugs/ So the police can bother me/ And I ain't never did a crime I ain't have to do/...And I never get to lay back/ 'Cause I always got to worry 'bout the pay backs/ Some buck that I roughed up way back/ Comin' back after all these years/ Rat-a-tat-tat-tat-tat that's the way it is uhh,SingerChanges.jpg
129,"Speaker, For Annie","Finally, he rests at ease. Finally, the thirst is quenched, the moaning and groaning, the sighing and sobbing are over. We even feel the relief in our own limbs from his words. Where some people lead content lives, all hungers assuaged, all loved ones near, this speaker had it hard, bore a load of the soul. Death gave him a cure to the sickness. And though the living dread the state of passing away, the speaker welcomes it deeply and joyously, pillowing his fevered, maddened head on the heavenly breast of a long, lost love. Oh what a sweet, composed, delicious sleep our anguished friend enjoys now near the sound of tranquil waters with only love as his eternal essence.","Thank Heaven! the crisis,/ The danger, is past,/ And the lingering illness/ Is over at last—/ And the fever called ""Living""/ Is conquered at last./ ...The moaning and groaning,/ The sighing and sobbing,/ Are quieted now,/ With that horrible throbbing/ At heart:—ah, that horrible,/ Horrible throbbing!/ ...The sickness—the nausea—/ The pitiless pain—/ Have ceased, with the fever/ That maddened my brain—/ With the fever called ""Living""/ That burned in my brain./ And oh! of all tortures/ That torture the worst/ Has abated—the terrible/ Torture of thirst/ For the naphthaline river/ Of Passion accurst:—/ I have drank of a water/ That quenches all thirst:—",SpeakerForAnnie.jpg
130,Miss Martian,"The lovable alien from a sister planet who joins a teenage superhero team to fight for justice. But Miss Martian with unbelievable power of telekinesis, flight, shape and density shifting is a torn, meek soul. She grew up in a lonely childhood with an old-time TV series to give her inspiration. And she bears the scars of an oppressed minority white Martian at odds with green Martians. Even too she bears the burden of keeping her hideous, true form from the world and her friends. Yet Miss Martian soon learns love conquers all and friendship, romance, family, heroism are the real powers one can have where all else pales in comparison.",,MissMartian.jpg
131,Boo Radley,"Barricaded in his dark home in a provincial-minded Alabama town, Boo Radley becomes the mysterious interest of neighborhood kids. Boo Radley is never seen or heard, coming or going and so whispers and gossips abound. All the dark epithets hurl his way. If chosen, this county in the South would elect Boo Radley as the perfect candidate for the title of modern day creep. Yet despite it all, Boo exchanges gifts and kindness and even stands up for the children on his block, be it life or death. So while courtrooms decide on continued hate, towns carry on in their ignorance, a southern people their myopia, a nameless recluse from nowhere teaches ""love thy neighbor"" principles.",,BooRadley.jpg
132,Black Widow,"The trained human weapon used for espionage, intelligence, re-con, combat, and nothing else. Since childhood, Black Widow fought her way across continents and allegiances. Just where the law stops, vengeance and justice begins, Natasha doesn't know. She doesn't even remember being abducted as a child, if she was really to excel as a ballerina in a different life. But for now, she fights on against the villains of the world, joining an assembly of other heroes. Acrobatic in moves, astute in martial arts, keen in spy tactics, Black Widow makes peace with her situation and her nature. The past would be a villain she beats alongside the present, the real hero.",,BlackWidow.jpg
133,Charlie Brown,"America and the world's lovable loser, Charlie Brown is the iconic archetype of the average kid. He leads his Peanuts gang in their everyday antics: the highs and lows of kid play. But Charlie is not the hero of stardom; he carries no badge of distinction or plaques for the wall, trophies for the mantle. He just carries rejections, frustrations, defeats, and so carries the hearts of millions just like him: naive, cynical, hapless sometimes, excited other times. We quietly root for this underdog. We want him to win the feat, beat the odds, stand tall and mighty before the crowds - just once. But we know Life dealt him and us a different hand and he never wins. But finally, a little guy got his face in the newspaper.",,CharlieBrown.jpg
134,"Singer, Running on Empty","The singer gives us the enduring chorus of modern times. Echoing the confusion and unassuaged numbness through the years and places, roads and fields, the singer reminds us all of our own hungers, yearnings, lost loves and lost days, our emptiness. He reminisces of bygone childhood moments in the carefree long ago, chasing horizons. But now the landscapes have changed. The routine of adulthood sets in. Our stifled souls don't know how to express the void. But the singer still looks to friends and love's smile to pull him through with hope beyond hope to survive the distances and times. Yes, he shows us that even a glass half empty can still quench a soul's thirst.","Looking out at the road rushing under my wheels/ Looking back at the years gone by like so many summer fields/ In sixty-five I was seventeen and running up one-oh-one/ I don't know where I'm running now, I'm just running on/ Running on, running on empty/ Running on, running blind/ Running on, running into the sun/ But I'm running behind/ Gotta do what you can just to keep your love alive/ Trying not to confuse it with what you do to survive/ In sixty-nine I was twenty-one and I called the road my own/ I don't know when that road turned, into the road I'm on/...Looking out at the road rushing under my wheels/ I don't know how to tell you all just how crazy this life feels Look around for the friends that I used to turn to to pull me through/ Looking into their eyes I see them running too",SingerRunningOnEmpty.jpg
135,Beetle Bailey,"The quintessence of the average GI Joe, the freckled, hapless, goof-off, perpetual shirker, Beetle Bailey makes his way through the drills and regiment and structure of an army training camp. Always bombarded by authority heads and insane rules, Beetle survives somehow. We little guys caught in our own mundane routine can see a little bit of ourselves in Beetle Bailey. We too want a break from bureaucracy and procedures. We too want simplicity in a chaotic world. We too joke in quiet hours with our rag tag friends. So Beetle is a refreshing mirror to our everyday selves and gladly we will march alongside and fight with him in that larger camp called Life.",,BeetleBailey.jpg
136,"Singer, Sexual Healing","A sweet, aching voice penetrating the darkness, the singer finds healing in love-making. When the blue teardrops fall, when the waves rise and rise, when emotional stability fades, he finds a balm in Gilead with intimacy. For so long intercourse carried every connotation, good or bad, but hardly one of healing for all the shivering, lonely souls out there. No more the stormy skies, sick mornings with a loved one a phone call away. Our singer in soulful eloquence paints the magic of two humans exchanging in a natural human moment, the love-spirit in the flesh. The music that can heal any who ever claimed in the end: ""cause I'm all alone"".",,SingerSexualHealing.jpg
137,"Singer, I Still Haven't Found What I'm Looking For","Echoing from highest heights to soul's depths, the singer's voice embodies all the surreal yearning, wonder, ache, and hope that can be contained in the human vessel. With spiritual searching, the singer moves between the continuum of angels and devils. He tried and tried up mountains, through the fields, up city walls, through the night and is still running. What does he look for in painstaking earnestness? It can only be a thing with no name: a peace, solace, absolution, salvation, love ever after, kingdom to come. And as we yield and submit to the cosmos, our own unsuccessful searching mirrors much like the singer's who still roams the night when others sleep looking for the unknown, unnamed substance not found on Earth.","I believe in the Kingdom come/ Then all the colors will bleed into one/ Bleed into one/ But yes, I'm still running/ You broke the bonds/ and you loosened chains/ carried the cross of my shame, of my shame/ You know I believe it/ But I still haven't found/ What I'm looking for",SingerIStillHaventFoundWhatImLookingFor.jpg
138,"Singer, Tha Crossroads","The grieving, turmoiled spirit caught up in a thug's life and hoping to follow God 24/7. But the everyday crimes tear away at the singer. He is pushed and pulled, yanked and dragged back and forth in his moral compass. His environment, his family, and friends, the violence all around, his life's chances forces the singer on an ill-fated destiny. And deep down his faith keeps him going. And he knows in the hereafter there is no mercy for him and his kind. He survived the jungle to be doomed for eternity with tears of pain in between. And still he questions and broods for the answer beyond the reason of his grief. And the only reply he can hear back is: ""we live to die.""","Follow the Lord all 24/7 days/ God is who we praise/ Even though the Devil's all up in my face/ But He keepin' me safe and in my place/ Say grace to the gates we race/ Without a chance to face the judge/ Then I guess my soul won't budge/ Grudge, because there's no mercy for thugs/ Ooh, what could I do?/ It's all about a family and how we roll/ Can I get a witness? Let it unfold/ We livin' our lives to eternal our souls...Livin' in a hateful world/ Sendin' me (straight to Heaven)/ That's how we roll/ And I asked the good Lord why/ And inside, he told me we live to die",SingerThaCrossroads.jpg
139,"Speaker, I'm Nobody! Who are You?","The perky little voice who doesn't mind being forgotten, nameless, infinitesimal. The speaker invites us to relish one's unnamed self who never sees the limelight, the spotlight, the newspaper headlines, the viral video. Happily relinquishing the worthless things of this world, the speaker is a reassuring and refreshing voice. Where everyone runs for the stampede of fame and fortune, status and inner circles, the speaker stands by the wayside reaching out a hand to the left-behinds and left-outs. She even amuses us on the worthless things of this world called a human name with no more currency than mud or a bog. She begs us to keep the title of Nobody as if the meek who inherit the world will do so quietly, unpublished.",I'm Nobody! Who are you?/ Are you – Nobody – too?/ Then there's a pair of us!/ Don't tell! they'd advertise – you know!/ How dreary – to be – Somebody!/ How public – like a Frog –  / To tell one's name – the livelong June – / To an admiring Bog!,SpeakerImNobodyWhoAreYou.jpg
140,"Singer, Tears in Heaven","The pleading voice who asks no more but to be remembered by name, to hold a hand in heaven. Accompanied by the rhythmic plucking of guitar strings, the singer's sad, gentle, weary crooning shakes the fiber of any conscious being. He is ever so restless, believing heaven is not for him. And that he must continue onward night and day for his true belonging, for the peace everlasting where there is no pain or tears. He rightfully affirms the gravity hard truth of earthly life that time can break you down. Can we squeeze the singer's shoulders? Can we stop his restless soul from wandering? Can we tell him if he would believe us that it is only him and his kind who ever belonged in heaven?",Would you know my name/ If I saw you in heaven?/ Would it be the same/ If I saw you in heaven?/ I must be strong and carry on/ 'Cause I know I don't belong here in heaven/ Would you hold my hand/ If I saw you in heaven?/ Would you help me stand/ If I saw you in heaven?/ I'll find my way through night and day/ 'Cause I know I just can't stay here in heaven,SingerTearsInHeaven.jpg
141,"Singer, Operator","Heartbreak's living incarnate voice, the singer carries the heaviness and pain of a lost modern day romance. As he talks to the telephone operator for a little contact number to prove his bravado and muster against an estranged beau and friend we feel his pain reverberate with plucked guitar strings. And it hurts all the more with the real thing -a love that would save the singer. We all were in his shoes once who saw our loved one steal off into the sunset. We fought back the tears. We denied or minimized the true effect. We tried the words to beat how we feel. The singer unites us all with our shared pain. He even becomes our hero to calmly surrender the need to prove himself to his ex-lover and does so in music.",,SingerOperator.jpg
142,"Speaker, O Me! O Life!","The exasperated voice who sees his infinitesimal self in the broader, larger scope of cities and universe. Defeated, he sees the crowds, the trains, cities, and debases himself lower among the multitude. What does it all mean? What do I do now? Where shall I go? These are the silent questions asked but never answered. And then he sees the years recurring before and after and all the waste and wear of the human soul: lost days, unachieved goals, vain body of work, the aching mind. And then he hears a voice, learns a lesson of enough, of being small in an enormous existence -that to leave a crumb, a trace, a verse is still worthwhile.","Oh me! Oh life! of the questions of these recurring,/ Of the endless trains of the faithless, of cities fill'd with the foolish,/ Of myself forever reproaching myself, (for who more foolish than I, and who more faithless?)/ Of eyes that vainly crave the light, of the objects mean, of the struggle ever renew'd,/ Of the poor results of all, of the plodding and sordid crowds I see around me, Of the empty and useless years of the rest, with the rest me intertwined,/ The question, O me! so sad, recurring—What good amid these, O me, O life?",SpeakerOMeOLife.jpg
143,Boy in The Carrot Seed,"A tenacious, ever hopeful, ever persistent boy who kept on believing with no encouraging proof. Even when everyone near and dear told him a simple carrot seed will not come up the boy who listened intently to every word still believed otherwise. And didn't just sit and wait but worked. He pulled, tended, watered that plant. If ever there was a living testimony to human perseverance this is the story. We know it is not just a carrot seed but all the hard-earned, striving goals, tangible and intangible, of this world and the next. And this isn't just any boy but a symbol of the best in the human spirit. Our boy is a hero who beat the naysayers with patience and resolve who hoped beyond hope and hard enough to create a miracle.",,BoyTheCarrotSeed.jpg
144,"Speaker, Forgiveness","Heavy-hearted, broken-spirited the anguished speaker finds himself walking the burial grounds. He comes to see the inevitable end of all humans, the threshold crossed and never returned. He learns the transience of it all, the vanity of all works and acts. And through this catharsis, studying the abyss, his pride shatters. With such revelation what worth can there be to hold grudges, that our visit on earth is too short for pointless trifles where wronged and wrongdoer end in the same fate. Yes, the speaker broke his pride and forgave, finding it better to sink in the grave with brotherly, neighborly spirit than burdened with pointless petty earthly cares.","Where, pondering how all human love and hate/ Find one sad level; and how, soon or late,/ Wronged and wrongdoer, each with meekened face,/ And cold hands folded over a still heart,/ Pass the green threshold of our common grave,/ Whither all footsteps tend, whence none depart,/ Awed for myself, and pitying my race,/ Our common sorrow, like a mighty wave,/ Swept all my pride away, and trembling I forgave!",SpeakerForgiveness.jpg
145,"Speaker, Ode to a Nightingale","Entranced by a bird's singing but anguished in state of mind, the speaker vacillates between reality and revelry. He uses the nightingale as a symbol of a better world, far past and beyond the death and pain in purity and song. He even wishes to flee with the nightingale away from the race of men in the very essence of Poetry. So long has he brooded and romanticized Death itself. Rising and falling, ebbing and flowing in wonderment, anticipation, weariness and longing, the speaker pours onto the bird a soulful introspection. But reality kicks in and the dream ends. But it seems a part of the speaker may have flown away.","Fade far away, dissolve, and quite forget/ What thou among the leaves hast never known,/ The weariness, the fever, and the fret/ Here, where men sit and hear each other groan;/ Where palsy shakes a few, sad, last gray hairs,/ Where youth grows pale, and spectre-thin, and dies;/ Where but to think is to be full of sorrow/ And leaden-eyed despairs,/ Where Beauty cannot keep her lustrous eyes,/ Or new Love pine at them beyond to-morrow.",SpeakerOdeToANightingale.jpg
146,"Speaker, Tao Te Ching, 20","Completely destitute of all things, the speaker pours out a dirge to the world. Everyone around filled with purpose, life, bounty, busy enjoying life, the speaker finds himself naked in atomic nullity with no place to go, nothing to do, no one for him. Stripped of all worldly things he thinks of himself as a newborn -mute, dumb, empty- and the pain of such emptiness transmutes to confusion, frustration, restlessness. He drifts on nowhere like the waves and wind. All in stark contrast to everyone else he seems to be dying in the lost days and time. But the anguished speaker learns a valuable lesson that in his emptiness he nourishes on something of the soul, gaining true enlightenment.","Other people are contented, enjoying the sacrificial feast of the ox./ In spring some go to the park, and climb the terrace,/ But I alone am drifting not knowing where I am./ Like a new-born babe before it learns to smile,/ I am alone, without a place to go./ ...Oh, I drift like the waves of the sea./ Without direction, like the restless wind./ Everyone else is busy,/ But I alone am aimless and depressed./ I am different./ I am nourished by the great mother.",SpeakerTaoTeChing20.jpg
147,"Speaker, The Journey","Onward toward an uncertain journey, the speaker absorbs all the everyday beauties around him -above, below, here and there. Yet sadly no one shares in his momentous wonder of flower and sun. As he stands still all around are people coming and going, no one staying, no one stopping or glancing back: no smile, no song, no look of eye, no human exchange. And later he rests at the scorn of his acquaintances who too do not care for the passing scene and moment. The speaker is a tender, sensitive creature embracing the delicious presence, here and now. He even finds that the journey is neither hard nor long when you walk in the spirit of all things, destined for a human rendezvous.",the wealth of gold was scattered through the rift of the clouds while we busily went on our way and paid no heed. We sang no glad songs nor played; we went not to the village for barter; we spoke not a word nor smiled; we lingered not on the way. We quickened our pace more and more as the time sped by.,SpeakerTheJourney.jpg
148,Jimmy B-Rabbit,"The tortured urban Mid-Westerner who pounded out the anguish of his soul in rap battles. From impoverished settings and meager origins and dismal odds, Jimmy B-Rabbit never had a chance. He fights to keep afloat with blue-collared work. He fights to overcome his trailer park, rundown roots. He fights to command respect among his peers. He fights and fights. And so long running away from his problems and weaknesses, Jimmy eventually embraces them and turns it into ironic puns and beat box punchlines. And if ever a bullying word smith comes to ridicule the poor, the weak, the outcasts, bet your last dollar Jimmy B-Rabbit will be on the scene to fight back and duel the bully until the last Mic drops.",,JimmyBRabbit.jpg
149,"Singer, My Love is Your Love","Singing a love song about the Judgment Day, homelessness, World War III, aging, even death, the singer captures the essence of unconditional love. She paints a love with no ego, no status, no wealth or assets, no success or ambition, just wholly human connection that even the afterlife cannot tear apart. Her lullaby, melodic, tranquil voice carries an accepting understanding as if she seen it all -the mystery of the cosmos, the eventuality of all things, the very face of God. And she finds only love matters -the kind that sleeps on the street and train station with you, ages with you, through all peril and destruction. And living in such moments and spirit is a life well-spent.",If tomorrow is judgement day (sing mommy)/ And I'm standin' on the front line/ And the Lord ask me what I did with my life/ I will say I spent it with you/ If I wake up in World War 3/ I see destruction and poverty/ And I feel like I want to go home/ It's okay if you're comin' with me/… If I lose my fame and fortune/ And I'm homeless on the street/ And I'm sleepin' in Grand Central Station/ It's okay if you're sleepin' with me/ As the years they pass us by/We stay young through each other's eyes/ And no matter how old we get/ It's okay as long as I got you babe,SingerMyLoveIsYourLove.jpg
150,Sephora,"The youngest, last and least daughter cast out among her other sisters in beauty and grace, Sephora is a simple shepherd girl who keeps a gentle, faithful soul in a quiet desert corner of the world. And when compared to woman's beauty, indulgences, and conveniences, Sephora reminds us of the inner beauty: quiet as the green valleys and still waters. Sephora even reminds us of the true, pure love and faith of strong willed people with good values. With her sincere, beautiful spirit by a crusader's side, little wonder miracles triumph and shepherds surmount the power of pharaohs. Any flash and dash, glitter and glow, anything popular and vain, pale to the Sephoras of the old and new world.","A jewel has brilliant fire, but it gives no warmth. Our hands are not so soft, but they can serve. Our bodies not so white, but they are strong. Our lips are not perfumed, but they speak the truth. Love is not an art to us. It's life to us. We are not dressed in gold and fine linen. Strength and honor are our clothing. Our tents are not the columned halls of Egypt, but our children play happily before them. We can offer you little... but we offer all we have.",Sephora.jpg
